,,,,exact_match,exact_match,llm_cost (ct),llm_cost (ct)
model,,,,gpt-4o-mini-2024-07-18,gpt-4o-2024-11-20,gpt-4o-mini-2024-07-18,gpt-4o-2024-11-20
retriever,reranker,zoom,num_context,,,,
BM25Retriever,NoReranker,NoZoom,100,0.68,0.78,0.49,8.11
BM25Retriever,NoReranker,NoZoom,3,0.59,0.64,0.02,0.31
BM25Retriever,NoReranker,RowBasedZoom,3,0.7,0.7,0.16,2.63
BM25Retriever,QueryBasedReranker,NoZoom,3,0.66,0.73,0.2,3.72
NoRetriever,NoReranker,NoZoom,3,0.02,0.04,0.0,0.02
OracleRetriever,NoReranker,NoZoom,3,0.84,0.93,0.01,0.13
SBERTRetriever,NoReranker,NoZoom,100,0.68,0.78,0.48,7.94
SBERTRetriever,NoReranker,NoZoom,3,0.47,0.53,0.01,0.24
SBERTRetriever,NoReranker,RowBasedZoom,3,0.7,0.74,0.16,2.6
SBERTRetriever,QueryBasedReranker,NoZoom,3,0.58,0.62,0.19,3.4
